input,match,product_guide,product_guide_count
小魚香1包,FISH FINGER,"FISH FINGER, (M) FRESH FISH BALL 100, FRIED FISH CAKE (BLACK), FRIED MUSHROOM 2KG, (M) FRESH FISH BALL50, MEDIUM BEAN POK",6
Potato,POTATO USA / IDAHO / RUSSET 美国土豆 / 美国马铃薯,"(TND) MICROGREEN - AFFILA / PEA SHOOT / TENDRIL CRESS MG, CARROTS 红萝卜, SLICED /  MUSHROOM SHITAKE 切片花菇, SLICED MUSHROOM BUTTON 切片白蘑菇, RADISH RED BABY 小红圆萝卜 (125G/PKT), CELERY IMPORTED 西芹菜",6
厨师虾倦,Chef's Prawn Roll (厨师虾卷),"Dou Zhi (豆支卷), (S) Ma Ti Dan (马蹄蛋)-小, Liver Roll (猪肝卷), Fried Beancurd Roll (炸豆支卷), CHINESE SAUSAGE (灌肠), Chef's Prawn Roll (厨师虾卷), PRAWN CRACKER (虾饼), Sliced Ginger (姜片)",8
黄金虾片,Golden Prawn Pancake黄金虾饼,"SMALL OIL小桶油, Fish Skin 鱼皮 (600g/PKT), Golden Prawn Pancake黄金虾饼, Chicken Breast Meat 鸡胸肉, DD Chicken Katsudon (CD) 900G, Big Ngoh Hiang Roll (大五香卷), Kway Teow 粿条(小) (3kg)",7
700/900清江鱼,"SUTCHI - BUTTERFLY CUT 700-900, 10KGS","COOKED TIGER PRAWN 30/40, 10KG - PJ, FLOWER YELLOW CLAM 30/40 (500GM X 20P/CTN) - PO, SUTCHI - BUTTERFLY CUT 700-900, 10KGS, FRESH TOMAN FILLET CL, FROZEN BLANCHED CRAWFISH TAIL (ORIGINAL) 500Gx12PKTS",7
里脊油,Back Fat背油,"Shoulder Lean Skin On 前赤带皮, Delivery Charge 运输费, Spare Rib Cut 1""排骨切1寸, Back Fat背油",4
jewel egg,CHEW'S FRESH BROWN EGGS (C),CHEW'S FRESH BROWN EGGS (C),1
紫菜鸡,Seaweed Chicken (紫菜鸡),"Nugget/金鸡块, Cheese Tofu (芝士豆腐), Seaweed Chicken (紫菜鸡), BIG FISH BALL (XL) 特大鱼丸, 手工菜果SHOU GONG CAI GUO, Ngoh Hiang Ball (五香丸), QQ Pork sausage (台湾香肠－猪), Bee Hoon (米粉)",8
大春卷,(2A)素大春卷600G SPRING ROLL (BIG)**** *** ****** (15 PC),"素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (67) 普通蠔油 5L Vgn Oyster Sauce, (2-70) 泰式辣椒980G - MAE PRANOM THAI CHILLI SAUCE (12 PC), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), (1A25A)素世界 素 叉烧切900G VGN BBQ GLUTEN SLICED VWF (10 PC), (1B-50) -味根香羊肉 900G -VGN MUTTON (BIG) (24 PC), (2A)素大春卷600G SPRING ROLL (BIG)**** *** ****** (15 PC), (2-80)( 小包) 咖哩料100G - CURRY PASTE (10 PC), (1B-44)切香脆片 苏东干鹅切380G VGN CRISPY SOYA SKIN (35 PC)",9
雞蛋,CHEW'S FRESH BROWN EGGS (D),CHEW'S FRESH BROWN EGGS (D),1
Newly eggs,CHEW'S NEWLY LAID WHITE EGGS (400G) 10S,"CHEW'S NEWLY LAID WHITE EGGS (400G) 10S, CHEW'S FRESH KAMPONG EGGS (210G) 6S, CHEW'S OMEGA 3 FRESH WHITE EGGS (550G) 10S, MINIMART FARM EGGS 30S, CHEW'S FRESH BROWN EGGS (600G) 10S",5
15tray eggs,CHEW'S FRESH BROWN EGGS (C),"CHEW'S FRESH BROWN EGGS (B), CHEW'S FRESH BROWN EGGS (C), QUAIL EGGS 50S COOKED/P",3
芋头,YAM  ROLL (芋酥),"Fried Fish Ball (炸鱼丸) -A, YAM  ROLL (芋酥), Bei Jing Yuan (北京丸), Fish Stick (小五香), Ngoh Hiang Ball (五香丸), Fish Ball (鱼丸), OTAH ROLL (乌打卷)",7
8kg pork collor,Canada Pork Shoulder Butt 加拿大五花,"Canada Pork Belly B/L S/L 加拿大去皮肚肉, Canada Pork Fillet 加拿大腰肉, Canada Pork Jowl Fillet 加拿大脸肉, Canada Pork Shoulder Butt 加拿大五花, Canada Pork Loin Boneless 加拿大肉头, Canada Pork Boneless S/L Belly Single Rib-HYLIFE, Minced Meat Grade A上等搅肉",7
Rosemary,ROSEMARY 迷迭香 (50G/PKT),nan,1
小五香,Fish Stick (小五香),"Fried Fish Ball (炸鱼丸) -A, Nugget/金鸡块, Seaweed Chicken (紫菜鸡), Fried Beancurd Roll (炸豆支卷), 手工菜果SHOU GONG CAI GUO, Fish Stick (小五香), Ngoh Hiang Ball (五香丸), FISH FILLET (鱼排)",8
Jurong West,(2A)(青)素干鹅400G VGN CRISPY SOYA (GREEN)********** (70 PC),"素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (2A)(青)素干鹅400G VGN CRISPY SOYA (GREEN)********** (70 PC), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC)",3
Arla burger cheese slices,(61)(包装) 芝士片200G CHEESE SLICES (ARLA) (24 PC),"素虾卷 苏东 300G VGN SHRIMP ROLLS (10PCS X 12 PKT), (1A5B) (大包) 素金丝片 贵妃1KG VEG GOLDEN PORK MEAT SLICE (20 PC), (1A-20A) 素金凤凰 火腿 900G VEG HAM VWF (30 PC), 新春送礼 2025 CNY GIFTS, (61)(包装) 芝士片200G CHEESE SLICES (ARLA) (24 PC), (9B-59/60)天下第一鱼-260G WP - VGN NO. 1 HOUSE FISH (16 PC)",6
Seabass,FRESH SEABASS 500G (G) - BTF,"FRESH SEABASS 500G (G) - BTF, 21/25 PTO VANNAMEI SHRIMP (1KG X 10P) - PO, FLOWER YELLOW CLAM 30/40 (500GM X 20P/CTN) - PO, SUTCHI (CUBE) 25/35 (2KG X 3PKTS), FRESH TILAPIA 400/600G (G), FRESH TOMAN FILLET CL",6
5kg pork fat cube,JK Pork Fat Cube 2cm (Bag) 5kg SG,"JK Pork Belly Strip 0.5cm (Bag) 5kg 肚肉丝, CRAB MEAT JUMBO LUMP (EASTERN) 453.6GMX12CAN CN, JK PORK FAT CUBE 2CM 5KG/PKT SG 猪油丁, Crab Meat Jumbo Lump (Ocean) 454gmx12can CN, JK PORK BELLY STRIP 0.5CM 2KG/PKT SG 肚肉丝, JK Pork Belly S/R Strip 0.5cm (Bag) 5kg 挑骨肚肉丝",6
618新鲜猪腰,Pork Kidney 猪肾,"Pork Hind Trotter Burnt Cut Half烧毛猪脚尖切半, FZ Hind Knuckle Burnt Cut Half Cut 2” 冷冻烧毛后元蹄切半切2“, Pork Kidney 猪肾, Minced Meat Grade B搅肉, PORK RIBLET SEMI MEATY (BIGARD[SOCOPA])FR 10KG/CTN, PORK BACK BONE CUT 3.5"" 冷冻背骨切 3.5“ -10KG, Frozen Hind Knuckle Burnt Cut Half 冷冻烧毛后元蹄切半",7
