input,match,product_guide,product_guide_count
24,(B) Ma Ti Dan (马蹄蛋)-大,"(S) Ma Ti Dan (马蹄蛋)-小, Golden Fish Roe Roll (黄金鱼子卷), BEAN SPROUT CAKE (豆芽饼), PRAWN CRACKER (虾饼), CHINESE SAUSAGE (灌肠), (B) Ma Ti Dan (马蹄蛋)-大, 手工菜果SHOU GONG CAI GUO, Jian Yu Bing (尖鱼饼), Chicken Katsudon (CD), Chef's Prawn Roll (厨师虾卷), Bian Xiang (大扁香), Sliced Ginger (姜片), Prawn Cracker (破虾饼), Raw Cuttlefish (生目斗), Fried Fish Ball (炸鱼丸) -A, Sweet Sauce (卤酱), Dou Zhi (豆支卷), Liver Roll (猪肝卷), Instant Noodles 快熟面 (10pkt/CTN), Xia Tiao虾条, Gan Er (干鹅), FISH FILLET (鱼排), Century Egg  (皮蛋), Spring Roll (薄饼), Fried Beancurd Roll (炸豆支), YAM  ROLL (芋酥), SMALL OIL小桶油, Premium Ngoh Hiang Roll (特级五香卷), Five Color Roll (五色卷), SOTONG YOU TIAO (苏东油条), Bee Hoon (米粉)",31
Chili padi red,RED CHILLI PADI 小红辣椒,"ROUND CABBAGE 包菜, LARGE ONION 大洋葱, CHINESE CELERY 芹菜, SMALL LIME 小酸柑, GREEN FRISEE 青菲茜, GREEN CHILLI PADI 青小辣椒, HOR FUN 河粉, BASIL LEAF SWEET 金不换 甜, LEMON GRASS / SERAI 葱毛, CUCUMBER 青瓜, RED CARROT 红萝卜, BIG TAU KWA 大豆干, BABY KAILAN 芥兰仔, GREEN MANGO 青芒果, MEDIUM TOMATO 中番茄, SPRING ONION  青葱, CHIVE 韭菜, PEELED LARGE ONION 去皮大洋葱, BASIL LEAF HOT 金不换 辣, BEAN SPROUT 豆芽, PEELED GARLIC 蒜肉, EGGPLANT 茄子, PINEAPPLE 黄梨, BOMBAY ONION 红大葱, PARSLEY / SAW LEAF 芫茜, BROWN SHIMEIJI MUSHROOM 松菇 / 蟹味菇, RED CHILLI 红辣椒, RED CHILLI PADI 小红辣椒, CORIANDER / CHINESE PARSLEY 芫茜, BLUE GINGER 南姜, LONG BEAN 菜豆, LIME LEAF 大柑叶",32
Yam Roll /芋头,YAM  ROLL (芋酥),"Fried Beancurd Roll (炸豆支卷), DD Chicken Katsudon (CD) 900G, BEAN SPROUT CAKE (豆芽饼), PRAWN CRACKER (虾饼), Egg Roll (蛋卷), Fried Bian Xiang (炸扁香), CHINESE SAUSAGE (灌肠), Chef's Prawn Roll (厨师虾卷), OTAH ROLL (乌打卷), Seaweed Chicken (紫菜鸡), Liver Roll (猪肝卷), Gan Er (干鹅), Century Egg  (皮蛋), Spring Roll (薄饼), JUMBO BAO BING (薄饼), YAM  ROLL (芋酥), Fried Ngo Hiang (炸五香卷), Cuttlefish Croquette (苏东排), SOTONG YOU TIAO (苏东油条), QQ Pork sausage (台湾香肠－猪)",20
Beansprout,BEAN SPROUT 豆芽,"ROUND CABBAGE 包菜, LARGE ONION 大洋葱, CHINESE CELERY 芹菜, SMALL LIME 小酸柑, GREEN FRISEE 青菲茜, GREEN CHILLI PADI 青小辣椒, HOR FUN 河粉, BASIL LEAF SWEET 金不换 甜, LEMON GRASS / SERAI 葱毛, CUCUMBER 青瓜, RED CARROT 红萝卜, BIG TAU KWA 大豆干, BABY KAILAN 芥兰仔, GREEN MANGO 青芒果, MEDIUM TOMATO 中番茄, SPRING ONION  青葱, CHIVE 韭菜, PEELED LARGE ONION 去皮大洋葱, BASIL LEAF HOT 金不换 辣, BEAN SPROUT 豆芽, PEELED GARLIC 蒜肉, EGGPLANT 茄子, PINEAPPLE 黄梨, BOMBAY ONION 红大葱, PARSLEY / SAW LEAF 芫茜, BROWN SHIMEIJI MUSHROOM 松菇 / 蟹味菇, RED CHILLI 红辣椒, RED CHILLI PADI 小红辣椒, CORIANDER / CHINESE PARSLEY 芫茜, BLUE GINGER 南姜, LONG BEAN 菜豆, LIME LEAF 大柑叶",32
Red vein sorrel,(RVS) RED VEIN SORREL CRESS MG,"(RVS) RED VEIN SORREL CRESS MG, (TND) MICROGREEN - AFFILA / PEA SHOOT / TENDRIL CRESS MG, FIG 无花果 (900G-1KG/CTN), BAMBOO SHOOT 笋 (350G-400G/PKT), ALFAFA SPROUTS 苜蓿芽 (100G-125G/PKT), KOPPERT CRESS - AFFILLA / TENDRIL CRESS (25G/PUN), STRAWBERRY 400G 草莓, (H.NAS) HARVESTED NASTURTIUM LEAVES (40PCS/PUN), POTATO RATTE 法国长土豆 / 法国马铃薯 (KG), STRAWBERRY 草莓 (250G/PUN), PEA SHOOT SALAD (ISL) 100G/PUN",11
Japanese cucumber,CUCUMBER JAPANESE 日本黄瓜 (KG),"THYME 白里香 (50G/PKT), LETTUCE CORAL GREEN / LOLLO BIANDO 青珊瑚生菜, AUSTRALIA CURLY KALE 羽衣甘兰, ONION PEELED 去皮大洋葱, PUMPKIN LOCAL 本地南瓜, GARLIC PEELED 去皮蒜头 / 蒜肉 (700G/PKT), TOMATO (500G/PKT) 蕃茄, TOMATO CHERRY RED 小蕃茄, CAULIFLOWER 花椰菜, EDIBLE FLOWER - ASSORTED 食用花 (10G/PUN), STORY FRESH - BABY SPINACH 澳洲波菜苗 (500G/PKT), STRAWBERRY 草莓 (250G/PUN), STORY FRESH - MESCLUN SALAD 澳洲萨拉 (500G/PKT), (TND) MICROGREEN - AFFILA / PEA SHOOT / TENDRIL CRESS MG, ONION SHALLOT PEELED 去皮红葱仔, STRAWBERRY 400G 草莓, POMEGRANATE 红石榴 (200G-300G/NOS), RADISH RED BABY 小红圆萝卜 (125G/PKT), BASIL 罗勒 / 九辰塔 (50G/PKT), MUSHROOM WHITE BUTTON 白蘑菇 (KG), CUCUMBER JAPANESE 日本黄瓜 (KG), KOPPERT CRESS - AFFILLA / TENDRIL CRESS (25G/PUN), ONION WHITE HOLLAND 荷兰白皮洋葱, APPLE GREEN 青萍果, SDM - BROWN SHIMEJI (150G/PKT), BLUEBERRY 兰莓 (100G-125G/PKT)",26
小鱼香,FISH FINGER,"CUTTLEFISH TOFU, FRESH FISH CAKE (VEG), FRESH FISH CAKE (P), KOREAN FISH CAKE, CUTTLEFISH NUGGET, FISH FINGER, FUCHOU FISH FINGER, TEOCHEW FISH CAKE (20PCS), CHICKEN DUMPLING, CUTTLEFISH PASTE, HANDMADE FRESH FISH BALL (W) 50",11
otus root,LOTUS ROOT 莲藕,"SDM - MAITAKE MUSHROOM (150G/PKT), GRAPEFRUIT PINK 葡萄柚 (250G-350G/PCS), GARLIC PEELED 去皮蒜头 / 蒜肉 (700G/PKT), LOTUS ROOT 莲藕, EGGPLANT / AUBERGINE / DUTCH 荷兰茄子, CUCUMBER JAPANESE 日本黄瓜 (KG), WATERCRESS 西洋菜, ASPARAGUS GREEN JUMBO USA 美国芦笋 (KG), ONION WHITE HOLLAND 荷兰白皮洋葱, POTATO LOCAL 土豆 / 马铃薯, PEA SWEET / ENGLISH PEA / GARDEN PEA 甜豆 (130G/PKT), ZUCCHINI FLOWER FEMALE AUSTRALIA 夏南瓜花 (15PCS/TRAY), RADISH WHITE / DAIKON 大白萝卜 / 大根, CABBAGE ROUND 包菜, LEMON YELLOW 黄柠檬 (150G-200G/NOS), LEEK JAPANESE / SHIRONEGI / BEI CHONG 北葱 / 日本葱",16
Celery,CELERY IMPORTED 西芹菜,"CARROTS 红萝卜, FRENCH SHALLOT BANANA 法国洋葱, MUSHROOM SHITAKE 花菇, POTATO BABY / POTATO MARBLE 小土豆 / 小马铃薯, GARLIC WHOLE 蒜头, CELERY IMPORTED 西芹菜, BABY CARROT WITH SPROUT - ORANGE 橘色澳洲小萝卜, STRAWBERRY 草莓 (250G/PUN), STORY FRESH - MESCLUN SALAD 澳洲萨拉 (500G/PKT), BEETROOT GOLDEN 黄金甜菜根, LEMON YELLOW 黄柠檬 (150G-200G/NOS), FIG 无花果 (900G-1KG/CTN), ONION LARGE BROWN 大洋葱, KING OYSTER / ERINGYI MUSHROOM 杏鲍菇 (200G/PKT), SPEARMINT 薄荷叶 (50G/PKT), (OMK) ASSORTED MIX CRESS / OMAKASE MG, ASPARAGUS WHITE 白芦笋, MUSHROOM WHITE BUTTON 白蘑菇 (KG), BRUSSEL SPROUT 芽甘蓝 / 小洋包菜, POTATO USA / IDAHO / RUSSET 美国土豆 / 美国马铃薯, SDM - BROWN SHIMEJI (150G/PKT), LIME SEEDLESS 无子青柠檬, CABBAGE LONG WONG BOK 大白菜",23
Shironegi,THYME 白里香 (50G/PKT),"THYME 白里香 (50G/PKT), EGGS JAPAN 日本鸡蛋 (90 EGGS/BUNDLE) WITH EXPI, LILY BUD 白合, FRENCH SHALLOT BANANA 法国洋葱, POMELO 柚子 (600G-700G/NOS), CAPSICUM PEPPER RED 红灯笼椒 / 红大辣椒, ORANGE NAVEL 肉橙子 (120G-170G/NOS), CHIVES  细香葱 / 西洋细韭菜 (50G/PKT), LETTUCE ROMAINE / COS LETTUCE 罗曼生菜, ONION LARGE BROWN 大洋葱, CAPSICUM PEPPER YELLOW 黄灯笼椒 / 黄大辣椒, LEEK JAPANESE / SHIRONEGI / BEI CHONG 北葱 / 日本葱, WATERMELON 5KG 无子西瓜, ORANGE VALENCIA 水橙子 (120G-200G/NOS), MANGO HONEY / MANGO THAI 泰国芒果, KANG KONG 空心菜 / 雍菜, POTATO USA / IDAHO / RUSSET 美国土豆 / 美国马铃薯, MUSHROOM SHITAKE 花菇, CABBAGE ROUND 包菜",19
